employee_code,work_year,experience_cate,employment_cate,category,job_title,salary_in_usd,remote_ratio,company_cate,company_loc,employee_loc,work_for_home
458e1362,2023,entry-level,full_time,Data Engineer,Data Engineer,90000,50,large,Canada,United States,No
b45d6862,2023,mid-level,full_time,Data Engineer,Analytics Engineer,90000,100,medium,United States,United States,Yes
c59b6996,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,100,medium,France,France,Yes
8acc297c,2023,senior-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
860a0ec3,2023,mid-level,full_time,Data Analyst,Data Analyst,90000,0,medium,United States,United States,Yes
63abaa13,2023,mid-level,full_time,Data Analyst,Data Analyst,90000,0,medium,United States,United States,Yes
165e7ef1,2023,mid-level,full_time,Data Scientist,Data Scientist,110736,100,medium,United Kingdom,United Kingdom,Yes
30fc51b5,2023,mid-level,full_time,Data Analyst,Data Analyst,90000,100,medium,United States,United States,Yes
29706eec,2023,mid-level,full_time,Data Scientist,Data Scientist,90000,0,medium,United States,United States,Yes
49327aa2,2023,mid-level,full_time,Data Analyst,Data Analyst,90000,0,medium,United States,United States,Yes
4fcccc6e,2023,mid-level,full_time,AI,Computer Vision Engineer,110736,100,medium,United Kingdom,United Kingdom,Yes
baf3f049,2023,entry-level,full_time,Data Analyst,Data Analyst,90000,0,medium,United States,United States,Yes
fc4b61a9,2023,senior-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
d41d01b4,2023,entry-level,full_time,Data Engineer,Analytics Engineer,90000,0,medium,United States,United States,Yes
f18b4098,2023,senior-level,full_time,Data Scientist,Data Scientist,90000,100,medium,United States,United States,Yes
a86ce0c3,2023,mid-level,full_time,AI,Data Modeller,110736,0,medium,United Kingdom,United Kingdom,Yes
ca454381,2023,mid-level,full_time,AI,Machine Learning Research Engineer,90000,100,medium,Saudi Arabia,Saudi Arabia,Yes
3c5172d2,2023,senior-level,full_time,Data Engineer,Analytics Engineer,90000,0,medium,United States,United States,Yes
7bc85fa2,2023,mid-level,full_time,Data Engineer,Data Architect,90000,100,medium,United States,United States,Yes
5efce66f,2023,entry-level,full_time,AI,Computer Vision Engineer,90000,100,medium,United States,India,No
554fef8c,2023,senior-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
9abb0320,2023,mid-level,full_time,Data Scientist,Data Scientist,90000,100,medium,United States,United States,Yes
3fc61670,2023,executive-level,full_time,Data Managers,Head of Data,110736,100,medium,United Kingdom,United Kingdom,Yes
473f4a91,2023,senior-level,full_time,Data Analyst,Data Analyst,90000,100,medium,United States,United States,Yes
b415b2ce,2023,mid-level,full_time,AI,Data Modeler,110736,0,medium,United Kingdom,United Kingdom,Yes
d2dcaf09,2023,mid-level,full_time,Data Engineer,Data Engineer,110736,0,medium,United Kingdom,United Kingdom,Yes
62490345,2023,senior-level,full_time,Data Managers,Data Strategist,90000,0,medium,Canada,Canada,Yes
2e2a4388,2023,mid-level,full_time,AI,Machine Learning Engineer,97171,100,large,Netherlands,Netherlands,Yes
23772dbc,2023,mid-level,full_time,Data Analyst,Data Analyst,90000,0,medium,United States,United States,Yes
215f1a7b,2023,mid-level,full_time,Data Engineer,Data Engineer,90000,0,medium,United States,United States,Yes
